book,line_number,action,original,cleaned,detail
第七脑域,2,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4,full_line_removed,分节阅读 1,,^分节阅读\s*\d+\s*$
第七脑域,6,full_line_removed,声明：本书为TXT图书下载网(bookdown.com.cn)的用户上传至其在本站的存储空间，本站只提供TXT全集电子书存储服务以及免费下载服务，以下作品内容之版权与本站无任何关系。,,^声明：本书为TXT图书下载网.*$
第七脑域,7,full_line_removed,---------------------------用户上传之内容开始--------------------------------,,"^-{10,}用户上传之内容开始-{10,}$"
第七脑域,10,full_line_removed,"申明:本书由TXT图书下载网(Www.bookdown.com.cn)自网络收集整理制作,仅供预览交流学习使用,版权归原作者和出版社所有,如果喜欢,请支持订阅购买正版.",,^申明:本书由TXT图书下载网.*$
第七脑域,181,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,183,full_line_removed,分节阅读 2,,^分节阅读\s*\d+\s*$
第七脑域,332,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,334,full_line_removed,分节阅读 3,,^分节阅读\s*\d+\s*$
第七脑域,513,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,515,full_line_removed,分节阅读 4,,^分节阅读\s*\d+\s*$
第七脑域,670,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,672,full_line_removed,分节阅读 5,,^分节阅读\s*\d+\s*$
第七脑域,833,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,835,full_line_removed,分节阅读 6,,^分节阅读\s*\d+\s*$
第七脑域,1036,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1038,full_line_removed,分节阅读 7,,^分节阅读\s*\d+\s*$
第七脑域,1213,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1215,full_line_removed,分节阅读 8,,^分节阅读\s*\d+\s*$
第七脑域,1368,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1370,full_line_removed,分节阅读 9,,^分节阅读\s*\d+\s*$
第七脑域,1543,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1545,full_line_removed,分节阅读 10,,^分节阅读\s*\d+\s*$
第七脑域,1702,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1704,full_line_removed,分节阅读 11,,^分节阅读\s*\d+\s*$
第七脑域,1882,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,1884,full_line_removed,分节阅读 12,,^分节阅读\s*\d+\s*$
第七脑域,2032,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2034,full_line_removed,分节阅读 13,,^分节阅读\s*\d+\s*$
第七脑域,2199,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2201,full_line_removed,分节阅读 14,,^分节阅读\s*\d+\s*$
第七脑域,2360,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2362,full_line_removed,分节阅读 15,,^分节阅读\s*\d+\s*$
第七脑域,2529,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2531,full_line_removed,分节阅读 16,,^分节阅读\s*\d+\s*$
第七脑域,2670,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2672,full_line_removed,分节阅读 17,,^分节阅读\s*\d+\s*$
第七脑域,2833,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2835,full_line_removed,分节阅读 18,,^分节阅读\s*\d+\s*$
第七脑域,2964,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,2966,full_line_removed,分节阅读 19,,^分节阅读\s*\d+\s*$
第七脑域,3113,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3115,full_line_removed,分节阅读 20,,^分节阅读\s*\d+\s*$
第七脑域,3264,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3266,full_line_removed,分节阅读 21,,^分节阅读\s*\d+\s*$
第七脑域,3417,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3419,full_line_removed,分节阅读 22,,^分节阅读\s*\d+\s*$
第七脑域,3562,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3564,full_line_removed,分节阅读 23,,^分节阅读\s*\d+\s*$
第七脑域,3693,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3695,full_line_removed,分节阅读 24,,^分节阅读\s*\d+\s*$
第七脑域,3818,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3820,full_line_removed,分节阅读 25,,^分节阅读\s*\d+\s*$
第七脑域,3955,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,3957,full_line_removed,分节阅读 26,,^分节阅读\s*\d+\s*$
第七脑域,4072,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4074,full_line_removed,分节阅读 27,,^分节阅读\s*\d+\s*$
第七脑域,4193,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4195,full_line_removed,分节阅读 28,,^分节阅读\s*\d+\s*$
第七脑域,4304,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4306,full_line_removed,分节阅读 29,,^分节阅读\s*\d+\s*$
第七脑域,4447,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4449,full_line_removed,分节阅读 30,,^分节阅读\s*\d+\s*$
第七脑域,4584,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4586,full_line_removed,分节阅读 31,,^分节阅读\s*\d+\s*$
第七脑域,4729,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4731,full_line_removed,分节阅读 32,,^分节阅读\s*\d+\s*$
第七脑域,4882,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,4884,full_line_removed,分节阅读 33,,^分节阅读\s*\d+\s*$
第七脑域,5019,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5021,full_line_removed,分节阅读 34,,^分节阅读\s*\d+\s*$
第七脑域,5144,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5146,full_line_removed,分节阅读 35,,^分节阅读\s*\d+\s*$
第七脑域,5287,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5289,full_line_removed,分节阅读 36,,^分节阅读\s*\d+\s*$
第七脑域,5418,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5420,full_line_removed,分节阅读 37,,^分节阅读\s*\d+\s*$
第七脑域,5589,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5591,full_line_removed,分节阅读 38,,^分节阅读\s*\d+\s*$
第七脑域,5728,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5730,full_line_removed,分节阅读 39,,^分节阅读\s*\d+\s*$
第七脑域,5863,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5865,full_line_removed,分节阅读 40,,^分节阅读\s*\d+\s*$
第七脑域,5992,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,5994,full_line_removed,分节阅读 41,,^分节阅读\s*\d+\s*$
第七脑域,6153,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6155,full_line_removed,分节阅读 42,,^分节阅读\s*\d+\s*$
第七脑域,6314,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6316,full_line_removed,分节阅读 43,,^分节阅读\s*\d+\s*$
第七脑域,6475,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6477,full_line_removed,分节阅读 44,,^分节阅读\s*\d+\s*$
第七脑域,6618,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6620,full_line_removed,分节阅读 45,,^分节阅读\s*\d+\s*$
第七脑域,6741,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6743,full_line_removed,分节阅读 46,,^分节阅读\s*\d+\s*$
第七脑域,6860,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6862,full_line_removed,分节阅读 47,,^分节阅读\s*\d+\s*$
第七脑域,6983,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,6985,full_line_removed,分节阅读 48,,^分节阅读\s*\d+\s*$
第七脑域,7110,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7112,full_line_removed,分节阅读 49,,^分节阅读\s*\d+\s*$
第七脑域,7221,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7223,full_line_removed,分节阅读 50,,^分节阅读\s*\d+\s*$
第七脑域,7338,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7340,full_line_removed,分节阅读 51,,^分节阅读\s*\d+\s*$
第七脑域,7485,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7487,full_line_removed,分节阅读 52,,^分节阅读\s*\d+\s*$
第七脑域,7606,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7608,full_line_removed,分节阅读 53,,^分节阅读\s*\d+\s*$
第七脑域,7769,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7771,full_line_removed,分节阅读 54,,^分节阅读\s*\d+\s*$
第七脑域,7896,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,7898,full_line_removed,分节阅读 55,,^分节阅读\s*\d+\s*$
第七脑域,8023,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8025,full_line_removed,分节阅读 56,,^分节阅读\s*\d+\s*$
第七脑域,8160,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8162,full_line_removed,分节阅读 57,,^分节阅读\s*\d+\s*$
第七脑域,8267,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8269,full_line_removed,分节阅读 58,,^分节阅读\s*\d+\s*$
第七脑域,8400,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8402,full_line_removed,分节阅读 59,,^分节阅读\s*\d+\s*$
第七脑域,8539,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8541,full_line_removed,分节阅读 60,,^分节阅读\s*\d+\s*$
第七脑域,8682,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8684,full_line_removed,分节阅读 61,,^分节阅读\s*\d+\s*$
第七脑域,8853,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,8855,full_line_removed,分节阅读 62,,^分节阅读\s*\d+\s*$
第七脑域,9029,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9031,full_line_removed,分节阅读 63,,^分节阅读\s*\d+\s*$
第七脑域,9196,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9198,full_line_removed,分节阅读 64,,^分节阅读\s*\d+\s*$
第七脑域,9397,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9399,full_line_removed,分节阅读 65,,^分节阅读\s*\d+\s*$
第七脑域,9574,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9576,full_line_removed,分节阅读 66,,^分节阅读\s*\d+\s*$
第七脑域,9725,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9727,full_line_removed,分节阅读 67,,^分节阅读\s*\d+\s*$
第七脑域,9874,full_line_removed,------------,,"^-{10,}\s*$"
第七脑域,9876,full_line_removed,分节阅读 68,,^分节阅读\s*\d+\s*$
第七脑域,10031,full_line_removed,------------,,"^-{10,}\s*$"
