file,line,type,pattern,original,cleaned
第七脑域_utf8.txt,1,header_removed,,,
第七脑域_utf8.txt,2,header_removed,,------------,
第七脑域_utf8.txt,3,header_removed,,,
第七脑域_utf8.txt,4,header_removed,,分节阅读 1,
第七脑域_utf8.txt,5,header_removed,,,
第七脑域_utf8.txt,6,header_removed,,声明：本书为TXT图书下载网(bookdown.com.cn)的用户上传至其在本站的存储空间，本站只提供TXT全集电子书存储服务以及免费下载服务，以下作品内容之,
第七脑域_utf8.txt,7,header_removed,,---------------------------用户上传之内容开始--------------------------------,
第七脑域_utf8.txt,10,ad_line_removed,,"申明:本书由TXT图书下载网(Www.bookdown.com.cn)自网络收集整理制作,仅供预览交流学习使用,版权归原作者和出版社所有,如果喜欢,请支持订阅购",
第七脑域_utf8.txt,183,ad_line_removed,,分节阅读 2,
第七脑域_utf8.txt,334,ad_line_removed,,分节阅读 3,
第七脑域_utf8.txt,515,ad_line_removed,,分节阅读 4,
第七脑域_utf8.txt,672,ad_line_removed,,分节阅读 5,
第七脑域_utf8.txt,835,ad_line_removed,,分节阅读 6,
第七脑域_utf8.txt,1038,ad_line_removed,,分节阅读 7,
第七脑域_utf8.txt,1188,inline_watermark,ｗωｗwww\.bookdown書com网,原本看起来温顺可爱的楚天凌突然暴怒，一把挣脱了冰蓝的手，右手食指和中指放在紧皱的眉心处，双眼暴出两道寒光，矮小的身形背后瞬间冲出一团银光，ｗωｗwww.book,原本看起来温顺可爱的楚天凌突然暴怒，一把挣脱了冰蓝的手，右手食指和中指放在紧皱的眉心处，双眼暴出两道寒光，矮小的身形背后瞬间冲出一团银光，一个身高两米开外手持利
第七脑域_utf8.txt,1188,pinyin_or_other,,原本看起来温顺可爱的楚天凌突然暴怒，一把挣脱了冰蓝的手，右手食指和中指放在紧皱的眉心处，双眼暴出两道寒光，矮小的身形背后瞬间冲出一团银光，ｗωｗwww.book,原本看起来温顺可爱的楚天凌突然暴怒，一把挣脱了冰蓝的手，右手食指和中指放在紧皱的眉心处，双眼暴出两道寒光，矮小的身形背后瞬间冲出一团银光，一个身高两米开外手持利
第七脑域_utf8.txt,1215,ad_line_removed,,分节阅读 8,
第七脑域_utf8.txt,1370,ad_line_removed,,分节阅读 9,
第七脑域_utf8.txt,1545,ad_line_removed,,分节阅读 10,
第七脑域_utf8.txt,1704,ad_line_removed,,分节阅读 11,
第七脑域_utf8.txt,1884,ad_line_removed,,分节阅读 12,
第七脑域_utf8.txt,2034,ad_line_removed,,分节阅读 13,
第七脑域_utf8.txt,2201,ad_line_removed,,分节阅读 14,
第七脑域_utf8.txt,2362,ad_line_removed,,分节阅读 15,
第七脑域_utf8.txt,2531,ad_line_removed,,分节阅读 16,
第七脑域_utf8.txt,2672,ad_line_removed,,分节阅读 17,
第七脑域_utf8.txt,2835,ad_line_removed,,分节阅读 18,
第七脑域_utf8.txt,2966,ad_line_removed,,分节阅读 19,
第七脑域_utf8.txt,3115,ad_line_removed,,分节阅读 20,
第七脑域_utf8.txt,3266,ad_line_removed,,分节阅读 21,
第七脑域_utf8.txt,3419,ad_line_removed,,分节阅读 22,
第七脑域_utf8.txt,3564,ad_line_removed,,分节阅读 23,
第七脑域_utf8.txt,3695,ad_line_removed,,分节阅读 24,
第七脑域_utf8.txt,3820,ad_line_removed,,分节阅读 25,
第七脑域_utf8.txt,3957,ad_line_removed,,分节阅读 26,
第七脑域_utf8.txt,4074,ad_line_removed,,分节阅读 27,
第七脑域_utf8.txt,4195,ad_line_removed,,分节阅读 28,
第七脑域_utf8.txt,4306,ad_line_removed,,分节阅读 29,
第七脑域_utf8.txt,4449,ad_line_removed,,分节阅读 30,
第七脑域_utf8.txt,4586,ad_line_removed,,分节阅读 31,
第七脑域_utf8.txt,4731,ad_line_removed,,分节阅读 32,
第七脑域_utf8.txt,4884,ad_line_removed,,分节阅读 33,
第七脑域_utf8.txt,5021,ad_line_removed,,分节阅读 34,
第七脑域_utf8.txt,5146,ad_line_removed,,分节阅读 35,
第七脑域_utf8.txt,5289,ad_line_removed,,分节阅读 36,
第七脑域_utf8.txt,5420,ad_line_removed,,分节阅读 37,
第七脑域_utf8.txt,5591,ad_line_removed,,分节阅读 38,
第七脑域_utf8.txt,5730,ad_line_removed,,分节阅读 39,
第七脑域_utf8.txt,5865,ad_line_removed,,分节阅读 40,
第七脑域_utf8.txt,5994,ad_line_removed,,分节阅读 41,
第七脑域_utf8.txt,6155,ad_line_removed,,分节阅读 42,
第七脑域_utf8.txt,6316,ad_line_removed,,分节阅读 43,
第七脑域_utf8.txt,6477,ad_line_removed,,分节阅读 44,
第七脑域_utf8.txt,6620,ad_line_removed,,分节阅读 45,
第七脑域_utf8.txt,6743,ad_line_removed,,分节阅读 46,
第七脑域_utf8.txt,6862,ad_line_removed,,分节阅读 47,
